Cook_hour,AutoCook_freq,SelfCook_freq,Micro_freq,Oven_freq,Others_freq,Spring_freq,Summer_freq,Fall_freq,Winter_freq,bfB_freq,Breakfast_freq,Lunch_freq,Dinner_freq,afD_freq,Preheat_freq,Clean_freq,Cancle_freq,Restart_freq,MenuSpectrum,ModeSpectrum,Cook_menu,Micro_t,Oven_t,MenuFreq,S1,S2,recent_ct,time,Y
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,14,33.699095022624434,1310.6136363636365,4,0,30,1590,19,877
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,33.692810457516345,1310.6136363636365,25,0,60,0,13,1590
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,33.65301724137931,1282.3260869565215,26,0,3930,1590,13,1740
53.3,5,2323,2187,76,65,1584,270,474,840,927,329,1072,747,167,16,5,410,188,9,11,23,30.947368421052627,0.0,1,0,130,1590,12,60
53.3,5,2323,2187,76,65,1584,270,474,840,927,329,1072,747,167,16,5,410,188,9,11,7,33.64197530864197,1220.4,1,0,240,1440,11,1440
53.3,5,2323,2187,76,65,1584,270,474,840,927,329,1072,747,167,16,5,410,188,9,11,18,33.219741480611056,941.5357142857144,1,0,90,1740,18,856
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,11,45.0,0.0,1,0,90,0,19,690
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,33.333333333333336,480.0,1,0,50,1740,18,450
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,32.857142857142854,480.0,2,0,50,300,18,450
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,22,32.5,480.0,1,0,2370,0,22,275
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,4,36.0,218.57142857142856,1,0,2285,1440,10,1110
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,11,35.625,516.6666666666666,2,0,30,7200,18,750
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,23,35.625,516.6666666666666,1,0,30,300,19,90
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.5,516.6666666666666,3,0,30,7200,18,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.5,516.6666666666666,4,0,30,855,18,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,11,33.214285714285715,621.0,3,0,60,60,21,690
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,11,33.10344827586207,621.0,4,0,60,150,21,690
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,8,33.10344827586207,621.0,1,0,60,1740,21,660
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,8,32.8125,617.5,2,0,60,1440,19,690
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.736842105263165,617.5,5,0,30,1440,18,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.736842105263165,617.5,6,0,30,309,18,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.736842105263165,617.5,7,0,30,292,18,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,23,35.1219512195122,617.5,2,0,30,275,7,60
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.883720930232556,617.5,8,0,30,309,18,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,34.883720930232556,617.5,9,0,30,275,18,480
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,17,40.68181818181818,617.5,1,0,30,292,18,290
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,40.0,593.0769230769231,10,0,300,300,18,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,10,40.0,593.0769230769231,11,0,300,309,19,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,25,36.70454545454545,561.4285714285714,1,0,90,877,21,1040
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,25,36.145833333333336,561.4285714285714,2,0,30,1590,22,1040
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,11,36.082474226804116,561.4285714285714,5,0,30,7200,17,690
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,15,36.020408163265316,616.0,1,0,30,7200,18,420
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,8,35.72815533980583,616.0,3,0,30,7200,17,690
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,25,34.916666666666664,616.0,3,0,30,7200,20,1080
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,8,34.53846153846154,616.0,4,0,5220,150,20,795
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,8,34.43609022556391,616.0,5,0,30,855,19,810
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,34.338235294117645,695.625,1,0,30,300,19,1890
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,34.338235294117645,695.625,2,0,30,7200,19,1440
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,8,34.041095890410965,695.625,6,0,30,7200,21,810
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,34.041095890410965,695.625,3,0,30,7200,21,2040
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,7,34.041095890410965,695.625,4,0,30,7200,22,2040
60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16,25,34.11392405063291,690.0,4,0,30,7200,23,1080
